姓名,学号,考场ID,座位号
学生1-1,2023100001,1,1
学生1-2,2023100002,1,2
学生1-3,2023100003,1,3
学生1-4,2023100004,1,4
学生1-5,2023100005,1,5
学生1-6,2023100006,1,6
学生1-7,2023100007,1,7
学生1-8,2023100008,1,8
学生1-9,2023100009,1,9
学生1-10,2023100010,1,10
学生2-1,2023200001,2,1
学生2-2,2023200002,2,2
学生2-3,2023200003,2,3
学生2-4,2023200004,2,4
学生2-5,2023200005,2,5
学生2-6,2023200006,2,6
学生2-7,2023200007,2,7
学生2-8,2023200008,2,8
学生2-9,2023200009,2,9
学生2-10,2023200010,2,10
学生3-1,2023300001,3,1
学生3-2,2023300002,3,2
学生3-3,2023300003,3,3
学生3-4,2023300004,3,4
学生3-5,2023300005,3,5 
